date,type,kg,kr,avg price,max price,min price
20221230,Toskur 1,94,3275.20,34.84,38.40,30.80
20221230,Toskur 2,161,6304.90,39.16,42.10,36.90
20221230,Toskur 3,585,19838.00,33.91,34.60,32.00
20221230,Toskur 4,1379,36872.70,26.74,27.30,26.70
20221230,Toskur 5,354,6867.00,19.40,21.50,19.10
20221230,Toskur,60,900.00,15.00,15.00,15.00
20221230,Hysa 1 MSC,200,6335.00,31.68,32.00,30.70
20221230,Hysa 2 MSC,2200,65470.00,29.76,31.00,28.40
20221230,Hysa 3 MSC,3500,91905.00,26.26,26.30,26.20
20221230,Hysa 4 MSC,180,720.00,4.00,4.00,4.00
20221230,Hvítingur,11,36.60,3.33,6.60,3.00
20221230,Brosma MSC,7,21.00,3.00,3.00,3.00
20221230,Brosma,10,30.00,3.00,3.00,3.00
20221230,Longa MSC,11,33.00,3.00,3.00,3.00
20221230,Svartkalvi 1,498,21150.60,42.47,43.10,42.20
20221230,Svartkalvi 2,996,42301.20,42.47,43.10,42.20
20221230,Svartkalvi 3,2490,105753.00,42.47,43.10,42.20
20221230,Svartkalvi 4,996,42301.20,42.47,43.10,42.20
20221230,Svartkalvi (sek.),1770,14160.00,8.00,8.00,8.00
20221230,Blalonga,450,2700.00,6.00,6.00,6.00
20221230,Liri,10,30.00,3.00,3.00,3.00
20221230,Skrubba,6,28.00,4.67,5.50,3.00
20221229,Toskur 1,510,20560.00,40.31,43.10,36.10
20221229,Toskur 2,545,19851.50,36.42,38.10,33.10
20221229,Toskur 3,2018,56630.80,28.06,29.70,26.60
20221229,Toskur 4,7077,163449.40,23.10,25.10,21.20
20221229,Toskur 5,1199,23149.90,19.31,19.60,19.10
20221229,Hysa 1 MSC,2470,73111.00,29.60,31.00,27.90
20221229,Hysa 2 MSC,12300,345326.00,28.08,28.40,27.80
20221229,Hysa 3 MSC,16740,430147.00,25.70,26.20,25.10
20221229,Hysa 4 MSC,790,2956.00,3.74,4.10,3.60
20221229,Hysa MSC,10,162.00,16.20,16.20,16.20
20221229,Hvítingur,92,662.40,7.20,7.20,7.20
20221229,Upsi 1 MSC,14,142.80,10.20,10.20,10.20
20221229,Upsi MSC,75,900.00,12.00,12.00,12.00
20221229,Brosma 1 MSC,100,800.00,8.00,8.00,8.00
20221229,Brosma 2 MSC,70,490.00,7.00,7.00,7.00
20221229,Brosma 3 MSC,30,150.00,5.00,5.00,5.00
20221229,Brosma MSC,67,274.70,4.10,4.10,4.10
20221229,Longa 1 MSC,1310,19650.00,15.00,15.00,15.00
20221229,Longa 2 MSC,162,1944.00,12.00,12.00,12.00
20221229,Longa 3 MSC,62,632.40,10.20,10.20,10.20
20221229,Longa 4 MSC,22,200.20,9.10,9.10,9.10
20221229,Longa 5 MSC,24,100.80,4.20,4.20,4.20
20221229,Longa MSC,26,179.40,6.90,6.90,6.90
20221229,Havtaska,300,12330.00,41.10,41.10,41.10
20221229,Havtaska 1,560,23520.00,42.00,42.00,42.00
20221229,Havtaska 2,1960,82320.00,42.00,42.00,42.00
20221229,Havtaska 3,280,11760.00,42.00,42.00,42.00
20221229,Havtaska (sek.),600,14340.00,23.90,23.90,23.90
20221229,Tunga,2,78.00,39.00,39.00,39.00
20221229,Lyrur,2,41.40,20.70,20.70,20.70
20221229,Skota,35,199.50,5.70,5.70,5.70
20221229,Skoturavar,400,5120.00,12.80,12.80,12.80
20221229,Skrubba,47,263.20,5.60,5.60,5.60
20221221,Toskur,60,1200.00,20.00,20.00,20.00
20221221,Toskur 5 kg + fryst,5000,205000.00,41.00,41.00,41.00
20221221,Toskur 2.5 - 5.0 kg fryst,10000,385000.00,38.50,38.50,38.50
20221221,Toskur 1.0 - 2.5 kg fryst,15000,540000.00,36.00,36.00,36.00
20221221,Toskur 0.5 - 1.0 kg fryst,3000,84000.00,28.00,28.00,28.00
20221221,Hysa MSC,4900,43400.00,8.86,10.10,8.00
20221221,Hysa 0.8 - 1.5 kg fryst MSC,46000,1380000.00,30.00,30.00,30.00
20221221,Hysa 0.5 - 0.8 kg fryst MSC,42000,945000.00,22.50,22.50,22.50
20221221,Brosma 1 - 2 kg fryst MSC,3000,57000.00,19.00,19.00,19.00
20221221,Brosma 0 - 1 kg fryst MSC,500,8000.00,16.00,16.00,16.00
20221221,Longa 4 kg + fryst MSC,1000,22500.00,22.50,22.50,22.50
20221221,Longa 2 - 4 kg fryst MSC,5000,120000.00,24.00,24.00,24.00
20221221,Svartkalvi 1,696,24630.00,35.39,37.70,35.00
20221221,Svartkalvi 2,1392,49260.00,35.39,37.70,35.00
20221221,Svartkalvi 3,3480,123150.00,35.39,37.70,35.00
20221221,Svartkalvi 4,1392,49260.00,35.39,37.70,35.00
20221221,Svartkalvi (sek.),1500,12000.00,8.00,8.00,8.00
20221221,Svartkalvi 3-5 kg fryst,308,10780.00,35.00,35.00,35.00
20221221,Svartkalvi 2-3 kg fryst,1588,55580.00,35.00,35.00,35.00
20221221,Svartkalvi 1-2 kg fryst,1793,59519.00,33.20,40.00,33.00
20221221,Svartkalva hovd fryst,1062,20178.00,19.00,19.00,19.00
20221221,Svartkalva halar fryst,115,2185.00,19.00,19.00,19.00
20221221,Blalonga,840,5376.00,6.40,6.40,6.40
20221221,Kongafiskur,280,2240.00,8.00,8.00,8.00
20221221,Havtaska,560,16800.00,30.00,30.00,30.00
20221221,Havtaskuhalar fryst,7854,498109.69,63.42,64.90,62.00
20221219,Toskur 1,892,31309.86,35.09,40.90,26.50
20221219,Toskur 2,2056,65460.47,31.84,39.90,25.50
20221219,Toskur 3,1604,44453.10,27.71,33.90,22.50
20221219,Toskur 4,2654,53519.77,20.17,29.90,18.00
20221219,Toskur 5,479,6677.70,13.94,15.10,9.50
20221219,Toskur,50,1250.00,25.00,25.00,25.00
20221219,Hysa 1 MSC,4371,104795.00,23.98,25.20,15.00
20221219,Hysa 2 MSC,7993,160376.09,20.06,22.90,15.00
20221219,Hysa 3 MSC,7740,118836.00,15.35,16.20,15.00
20221219,Hysa 4 MSC,293,885.00,3.02,4.20,2.00
20221219,Hysa MSC,323,646.00,2.00,2.00,2.00
20221219,Hvítingur,4527,9054.00,2.00,2.00,2.00
20221219,Upsi MSC,5440,86912.00,15.98,16.00,8.00
20221219,Brosma 1 MSC,8,64.00,8.00,8.00,8.00
20221219,Brosma 2 MSC,131,1048.00,8.00,8.00,8.00
20221219,Brosma 3 MSC,228,1368.00,6.00,6.00,6.00
20221219,Brosma 4 MSC,39,195.00,5.00,5.00,5.00
20221219,Brosma MSC,203,982.00,4.84,6.00,4.00
20221219,Longa 1 MSC,1271,22878.00,18.00,18.00,18.00
20221219,Longa 1,297,5049.00,17.00,17.00,17.00
20221219,Longa 2 MSC,63,1134.00,18.00,18.00,18.00
20221219,Longa 2,2133,36261.00,17.00,17.00,17.00
20221219,Longa 3,243,3645.00,15.00,15.00,15.00
20221219,Longa 4,27,351.00,13.00,13.00,13.00
20221219,Longa 5 MSC,1,4.00,4.00,4.00,4.00
20221219,Longa MSC,4686,74166.00,15.83,16.00,6.00
20221219,Blalonga,3000,18000.00,6.00,6.00,6.00
20221219,Kongafiskur,2964,19908.00,6.72,7.00,6.70
20221219,Havtaska,1821,57614.10,31.64,32.10,31.40
20221219,Havtaska 1,2366,86802.49,36.69,38.00,33.00
20221219,Havtaska 2,8338,305503.84,36.64,38.00,33.00
20221219,Havtaska 3,4402,151545.02,34.42,38.00,33.00
20221219,Havtaska 4,1445,48470.08,33.54,34.60,33.00
20221219,Havtaska 5,84,2835.57,33.61,34.60,33.00
20221219,Havtaska (sek.),390,6240.00,16.00,16.00,16.00
20221219,Steinbítur,20,138.00,6.90,6.90,6.90
20221219,Liri,10,59.00,5.90,5.90,5.90
20221219,Reydsproka,30,612.00,20.40,20.40,20.40
20221219,Lyrur,9,90.00,10.00,10.00,10.00
20221219,Skoturavar,558,1674.00,3.00,3.00,3.00
20221216,Toskur 1,980,31072.00,31.71,31.90,30.00
20221216,Toskur 2,1090,35800.50,32.84,34.60,30.00
20221216,Toskur 3,4322,110604.90,25.59,26.90,25.20
20221216,Toskur 4,13150,284308.10,21.62,22.20,21.00
20221216,Toskur 5,2698,53667.80,19.89,20.30,18.20
20221216,Toskur fryst,909,36360.00,40.00,40.00,40.00
20221216,Toskur 5 kg + fryst,14104,557108.00,39.50,39.50,39.50
20221216,Toskur 2.5 - 5.0 kg fryst,44930,1399805.00,31.16,38.50,22.00
20221216,Toskur 1.0 - 2.5 kg fryst,8779,311654.50,35.50,35.50,35.50
20221216,Toskur 0.5 - 1.0 kg fryst,1082,32460.00,30.00,30.00,30.00
20221216,Hysa 1 MSC,1706,38258.60,22.43,23.00,18.60
20221216,Hysa 2 MSC,16550,320073.00,19.34,20.40,18.40
20221216,Hysa 3 MSC,23530,393967.00,16.74,16.90,16.40
20221216,Hysa 4 MSC,1234,4936.00,4.00,4.00,4.00
20221216,Hvítingur,394,2066.00,5.24,8.20,3.00
20221216,Hvítingur fryst,401,2406.00,6.00,6.00,6.00
20221216,Upsi MSC,25,75.00,3.00,3.00,3.00
20221216,Brosma 1 MSC,60,480.00,8.00,8.00,8.00
20221216,Brosma 2 MSC,90,720.00,8.00,8.00,8.00
20221216,Brosma 3 MSC,135,810.00,6.00,6.00,6.00
20221216,Brosma 4 MSC,60,240.00,4.00,4.00,4.00
20221216,Brosma MSC,138,552.00,4.00,4.00,4.00
20221216,Longa 1 MSC,85,1360.00,16.00,16.00,16.00
20221216,Longa 2 MSC,135,2160.00,16.00,16.00,16.00
20221216,Longa 3 MSC,128,1536.00,12.00,12.00,12.00
20221216,Longa 4 MSC,60,420.00,7.00,7.00,7.00
20221216,Longa MSC,81,486.00,6.00,6.00,6.00
20221216,Longa 4 kg + fryst MSC,7297,165641.91,22.70,22.70,22.70
20221216,Longa 2 - 4 kg fryst MSC,6525,156600.00,24.00,24.00,24.00
20221216,Longa 0 - 2 kg fryst MSC,1021,22870.40,22.40,22.40,22.40
20221216,Havtaska,87,2751.00,31.62,33.00,25.00
20221216,Havtaska fryst,434,26040.00,60.00,60.00,60.00
20221216,Steinbítur,4,26.40,6.60,6.60,6.60
20221216,Kalvi 3,7,630.00,90.00,90.00,90.00
20221216,Lyrur,44,660.00,15.00,15.00,15.00
20221216,Skota,658,3290.00,5.00,5.00,5.00
20221214,Toskur 1,779,28358.64,36.42,37.20,29.40
20221214,Toskur 2,559,18194.02,32.56,36.20,28.40
20221214,Toskur 3,3029,84187.50,27.80,29.90,22.40
20221214,Toskur 4,4900,120325.54,24.56,25.20,18.40
20221214,Toskur 5,1593,29234.90,18.35,19.20,13.40
20221214,Toskur,60,1086.00,18.10,18.10,18.10
20221214,Hysa 1 MSC,1044,13001.43,12.46,21.80,7.00
20221214,Hysa 2 MSC,12449,182129.84,14.63,19.60,7.00
20221214,Hysa 3 MSC,16450,260088.94,15.81,18.10,7.00
