date,type,kg,kr,avg price,max price,min price
20260312,Hysa 1 MSC,1142,39163.74,34.30,34.30,34.30
20260312,Hysa 2 MSC,13019,433526.03,33.30,33.30,33.30
20260312,Hysa 3 MSC,7897,239285.16,30.30,30.30,30.30
20260312,Hysa 4 MSC,682,4297.86,6.30,6.30,6.30
20260312,Hysa 1.5 kg + fryst MSC,16999,821051.69,48.30,48.30,48.30
20260312,Hysa 0.8 - 1.5 kg fryst MSC,8000,423200.00,52.90,52.90,52.90
20260312,Hysa 0.5 - 0.8 kg fryst MSC,1000,45100.00,45.10,45.10,45.10
20260312,Hysa 0 - 0.5 kg fryst MSC,423,16074.00,38.00,38.00,38.00
20260312,Hysa MSC,4800,104500.00,21.77,22.70,21.00
20260312,Toskur 1,1131,60721.20,53.70,54.60,53.00
20260312,Toskur 2,3110,163861.00,52.69,53.60,51.90
20260312,Toskur 3,6761,334087.41,49.41,49.80,48.60
20260312,Toskur 4,3654,156331.00,42.79,44.60,41.80
20260312,Toskur 5,501,16431.60,32.78,33.10,31.60
20260312,Toskur 7 kg+ fryst MSC,2249,165076.59,73.40,73.40,73.40
20260312,Toskur 5 kg + fryst MSC,7000,511700.00,73.10,73.10,73.10
20260312,Toskur 2.5 - 5.0 kg fryst MSC,30000,2106000.00,70.20,70.20,70.20
20260312,Toskur 1.0 - 2.5 kg fryst MSC,12000,770400.00,64.20,64.20,64.20
20260312,Hvitingur,11,113.30,10.30,10.30,10.30
20260312,Upsi MSC,60,1302.00,21.70,21.70,21.70
20260312,Upsi. fryst MSC,222,4839.60,21.80,21.80,21.80
20260312,Brosma 1 MSC,10,126.00,12.60,12.60,12.60
20260312,Brosma 2 MSC,30,378.00,12.60,12.60,12.60
20260312,Brosma 3 MSC,80,928.00,11.60,11.60,11.60
20260312,Brosma 4 MSC,30,300.00,10.00,10.00,10.00
20260312,Brosma MSC,27,345.60,12.80,12.80,12.80
20260312,Brosma 2 kg + fryst MSC,1191,40613.10,34.10,34.10,34.10
20260312,Brosma 1 - 2 kg fryst MSC,2000,65200.00,32.60,32.60,32.60
20260312,Brosma 0 - 1 kg fryst MSC,1541,38525.00,25.00,25.00,25.00
20260312,Longa 1,1040,32184.50,30.95,31.90,29.50
20260312,Longa 2,486,15064.15,31.03,31.90,29.50
20260312,Longa 3,111,2923.88,26.28,27.90,20.10
20260312,Longa 4,36,648.25,18.26,21.90,8.00
20260312,Longa 5,21,223.88,10.79,14.90,4.00
20260312,Longa 4 kg + fryst MSC,4000,152000.00,38.00,38.00,38.00
20260312,Longa 2 - 4 kg fryst MSC,3899,161028.70,41.30,41.30,41.30
20260312,Longa 0 - 2 kg fryst MSC,638,26859.80,42.10,42.10,42.10
20260312,Havtaska,17,612.00,36.00,36.00,36.00
20260312,Liri 3 kg + fryst,1771,30284.10,17.10,17.10,17.10
20260312,Liri 0-3 kg fryst,149,2547.90,17.10,17.10,17.10
20260312,Steinbitur 1 kg + fryst MSC,2001,32816.40,16.40,16.40,16.40
20260312,Steinbitur 0-1 kg fryst MSC,778,12759.20,16.40,16.40,16.40
20260312,Kalvi 4,53,3206.50,60.50,60.50,60.50
20260312,Reydsproka,55,1375.00,25.00,25.00,25.00
20260312,Lyrur,50,2000.00,40.00,40.00,40.00
20260312,Blandad rogn,1007,30310.70,30.10,30.10,30.10
20260311,Hysa 1 MSC,874,28595.47,32.72,34.90,25.40
20260311,Hysa 2 MSC,15858,483851.91,30.51,33.20,24.40
20260311,Hysa 3 MSC,13039,369535.19,28.34,30.30,23.40
20260311,Hysa 4 MSC,1075,9660.48,8.99,14.30,7.00
20260311,Hysa MSC,10903,195070.60,17.89,20.20,16.10
20260311,Toskur 1,2818,148165.91,52.59,53.80,39.10
20260311,Toskur 2,10786,554200.40,51.38,52.30,39.10
20260311,Toskur 3,19987,927797.04,46.42,48.30,29.60
20260311,Toskur 4,11506,480878.81,41.79,43.30,32.60
20260311,Toskur 5,1558,49428.23,31.72,33.30,20.00
20260311,Toskur,650,26000.00,40.00,40.00,40.00
20260311,Hvitingur,367,4568.80,12.45,16.40,9.60
20260311,Upsi 1 MSC,675,13657.50,20.23,20.30,20.10
20260311,Upsi 2 MSC,675,13657.50,20.23,20.30,20.10
20260311,Upsi 1-2 MSC,75,1727.50,23.03,24.10,22.50
