date,type,kg,kr,avg price,max price,min price
20241230,Toskur,17,324.70,19.10,19.10,19.10
20241230,Hysa MSC,2,13.80,6.90,6.90,6.90
20241230,Upsi MSC,46,368.00,8.00,8.00,8.00
20241230,Longa,14,140.00,10.00,10.00,10.00
20241230,Tunga,1,7.00,7.00,7.00,7.00
20241220,Toskur 1,20,606.00,30.30,30.30,30.30
20241220,Toskur 2,40,1208.00,30.20,30.20,30.20
20241220,Toskur 3,400,13600.00,34.00,34.00,34.00
20241220,Toskur 4,580,10440.00,18.00,18.00,18.00
20241220,Toskur 5,100,1200.00,12.00,12.00,12.00
20241220,Toskur fryst,274,6850.00,25.00,25.00,25.00
20241220,Toskur 2.5 - 5.0 kg fryst,9000,477900.00,53.10,53.10,53.10
20241220,Toskur 1.0 - 2.5 kg fryst,8000,361600.00,45.20,45.20,45.20
20241220,Hysa 1 MSC,30,480.00,16.00,16.00,16.00
20241220,Hysa 2 MSC,400,9560.00,23.90,23.90,23.90
20241220,Hysa 3 MSC,560,7840.00,14.00,14.00,14.00
20241220,Hysa 4 MSC,70,140.00,2.00,2.00,2.00
20241220,Hysa 1.5 kg + fryst MSC,1449,64335.60,44.40,44.40,44.40
20241220,Hysa 0.8 - 1.5 kg fryst MSC,45628,1937427.25,42.46,42.80,42.40
20241220,Hysa 0.5 - 0.8 kg fryst MSC,20862,686359.81,32.90,32.90,32.90
20241220,Hysa 0 - 0.5 kg fryst MSC,4822,113317.00,23.50,23.50,23.50
20241220,Hvitingur,5,30.00,6.00,6.00,6.00
20241220,Hvitingur fryst,4401,48580.00,11.04,11.30,10.50
20241220,Upsi fryst MSC,1132,13584.00,12.00,12.00,12.00
20241220,Brosma MSC,60,240.00,4.00,4.00,4.00
20241220,Brosma 1 - 2 kg fryst MSC,10000,132000.00,13.20,13.20,13.20
20241220,Brosma 0 - 1 kg fryst MSC,2000,27200.00,13.60,13.60,13.60
20241220,Longa,75,517.50,6.90,6.90,6.90
20241220,Longa 4 kg + fryst,9000,216000.00,24.00,24.00,24.00
20241220,Longa 2 - 4 kg fryst,6000,147000.00,24.50,24.50,24.50
20241220,Svartkalvi fryst,6359,289819.41,45.58,46.10,42.00
20241220,Svartkalvi 3-5 kg fryst,757,40878.00,54.00,54.00,54.00
20241220,Svartkalvi 2-3 kg fryst,1789,96606.00,54.00,54.00,54.00
20241220,Svartkalvi 1-2 kg fryst,40821,2002643.88,49.06,52.10,45.90
20241220,Svartkalvi 0-1 kg fryst,22352,1031957.00,46.17,49.10,45.00
20241220,Svartkalva hovd fryst,9600,408660.00,42.57,45.00,42.00
20241220,Havtaskuhalar fryst,623,45479.00,73.00,73.00,73.00
20241220,Skota fryst,884,11050.00,12.50,12.50,12.50
20241220,Skoturavar fryst,770,9625.00,12.50,12.50,12.50
20241219,Toskur 1,26,982.98,38.10,38.10,38.10
20241219,Toskur 2,172,6381.20,37.10,37.10,37.10
20241219,Toskur 3,516,15531.60,30.10,30.10,30.10
20241219,Toskur 4,138,3316.16,24.10,24.10,24.10
20241219,Toskur 5,9,172.86,20.10,20.10,20.10
20241219,Toskur fryst,20,600.00,30.00,30.00,30.00
20241219,Toskur 7 kg + fryst,8542,555230.00,65.00,65.00,65.00
20241219,Toskur 5 kg + fryst,35169,2260436.75,64.27,67.10,59.00
20241219,Toskur 2.5 - 5.0 kg fryst,25593,1279650.00,50.00,50.00,50.00
20241219,Toskur 1.0 - 2.5 kg fryst,29481,1315929.63,44.64,44.70,44.00
20241219,Toskur 0.5 - 1.0 kg fryst,4977,194836.50,39.15,39.50,37.00
20241219,Hysa MSC,1020,9480.00,9.29,20.00,6.00
20241219,Hvitingur,2270,11740.00,5.17,8.00,5.00
20241219,Upsi MSC,230,1779.00,7.73,7.90,7.70
20241219,Brosma MSC,990,3780.00,3.82,4.00,3.00
20241219,Brosma,30,90.00,3.00,3.00,3.00
20241219,Longa,620,8990.00,14.50,14.50,14.50
20241219,Svartkalvi 1,300,12080.00,40.27,44.80,38.00
20241219,Svartkalvi 2,600,24160.00,40.27,44.80,38.00
20241219,Svartkalvi 3,1500,60400.00,40.27,44.80,38.00
20241219,Svartkalvi 4,600,24160.00,40.27,44.80,38.00
20241219,Blalonga,680,5388.00,7.92,8.60,4.00
20241219,Kongafiskur,1105,7510.00,6.80,7.00,4.00
20241219,Havtaska,2030,92772.50,45.70,46.75,43.75
20241219,Havtaska 1,213,11921.00,55.97,61.20,53.25
20241219,Havtaska 2,852,47684.00,55.97,61.20,53.25
20241219,Havtaska 3,2130,119210.00,55.97,61.20,53.25
20241219,Havtaska 4,1022,57220.80,55.97,61.20,53.25
20241219,Havtaska 5,43,2384.20,55.97,61.20,53.25
20241219,Kalvi 4,20,910.00,45.50,45.50,45.50
20241219,Kalvi 5,5,75.00,15.00,15.00,15.00
20241219,Tunga,30,1357.50,45.25,45.25,45.25
20241219,Skøturavar,340,3132.00,9.21,9.40,9.00
20241219,Lalla,270,1620.00,6.00,6.00,6.00
20241218,Toskur 1,2901,112765.70,38.87,46.20,34.30
20241218,Toskur 2,25370,940978.19,37.09,41.00,33.30
20241218,Toskur 3,16498,508515.31,30.82,36.80,26.30
20241218,Toskur 4,7617,199257.30,26.16,28.10,20.30
20241218,Toskur 5,926,16348.50,17.65,19.80,14.20
20241218,Hysa 1 MSC,380,11058.00,29.10,29.10,29.10
20241218,Hysa 2 MSC,4080,122168.00,29.94,30.80,21.60
20241218,Hysa 3 MSC,1830,42090.00,23.00,23.00,23.00
20241218,Hysa MSC,5650,33900.00,6.00,6.00,6.00
20241218,Hvitingur,142,695.80,4.90,4.90,4.90
20241218,Upsi 1 MSC,3260,38360.00,11.77,13.50,11.00
20241218,Upsi 2 MSC,1470,16170.00,11.00,11.00,11.00
20241218,Upsi 3 MSC,1005,9045.00,9.00,9.00,9.00
20241218,Upsi 4 MSC,205,1230.00,6.00,6.00,6.00
20241218,Upsi MSC,2850,27915.00,9.79,10.00,6.10
20241218,Brosma MSC,10,30.00,3.00,3.00,3.00
20241218,Brosma,20,60.00,3.00,3.00,3.00
20241218,Longa 1,252,3528.00,14.00,14.00,14.00
20241218,Longa 2,966,12558.00,13.00,13.00,13.00
20241218,Longa 3,154,1848.00,12.00,12.00,12.00
20241218,Longa 4,28,308.00,11.00,11.00,11.00
20241218,Longa,947,11129.00,11.75,12.00,7.00
20241218,Svartkalvi 1,480,18000.00,37.50,37.50,37.50
20241218,Svartkalvi 2,960,36000.00,37.50,37.50,37.50
20241218,Svartkalvi 3,2400,90000.00,37.50,37.50,37.50
20241218,Svartkalvi 4,960,36000.00,37.50,37.50,37.50
20241218,Svartkalvi,2100,73500.00,35.00,36.50,32.00
20241218,Svartkalvi (sek.),720,11520.00,16.00,16.00,16.00
20241218,Blalonga,16840,141620.00,8.41,10.70,7.90
20241218,Kongafiskur 2,2700,21150.00,7.83,8.60,6.90
20241218,Kongafiskur 3,240,1640.00,6.83,7.60,5.90
20241218,Kongafiskur 4,60,290.00,4.83,5.60,3.90
20241218,Kongafiskur,1270,9858.00,7.76,9.90,7.60
20241218,Havtaska,1053,43883.00,41.67,48.50,39.75
20241218,Steinbitur,10,101.00,10.10,10.10,10.10
20241218,Liri,850,5950.00,7.00,7.00,7.00
20241218,Kalvi 4,27,879.00,32.56,39.50,32.00
20241218,Reydsproka,25,250.00,10.00,10.00,10.00
20241218,Tunga,10,129.00,12.90,12.90,12.90
20241218,Lyrur,3,45.00,15.00,15.00,15.00
20241218,Skrubba,15,82.50,5.50,5.50,5.50
20241217,Toskur 1,1155,42300.50,36.62,44.10,32.00
20241217,Toskur 2,1850,65510.00,35.41,42.00,31.00
20241217,Toskur 3,3878,128668.40,33.18,36.00,24.00
20241217,Toskur 4,5439,162752.70,29.92,30.20,18.00
20241217,Toskur 5,438,9595.40,21.91,23.10,12.00
20241217,Hysa 1 MSC,100,2710.00,27.10,27.10,27.10
20241217,Hysa 2 MSC,800,20400.00,25.50,25.50,25.50
20241217,Hysa 3 MSC,950,16815.00,17.70,17.70,17.70
20241217,Hysa 4 MSC,200,400.00,2.00,2.00,2.00
20241217,Hysa MSC,435,2610.00,6.00,6.00,6.00
20241217,Hvitingur,1580,11047.50,6.99,18.00,5.00
20241217,Brosma MSC,145,580.00,4.00,4.00,4.00
20241217,Longa 1,900,13320.00,14.80,16.00,14.00
20241217,Longa 2,3400,46920.00,13.80,15.00,13.00
20241217,Longa 1-2,45,585.00,13.00,13.00,13.00
20241217,Longa 3,555,7080.00,12.76,14.00,8.00
20241217,Longa 4,150,1770.00,11.80,13.00,11.00
20241217,Havtaska,2235,103029.00,46.10,48.10,40.75
20241217,Steinbitur,5,90.00,18.00,18.00,18.00
20241217,Kalvi 3,5,285.00,57.00,57.00,57.00
20241217,Kalvi 5,3,54.00,18.00,18.00,18.00
20241217,Skrubba,25,225.00,9.00,9.00,9.00
