date,type,kg,kr,avg price,max price,min price
20250718,Hysa 1 MSC,515,19853.00,38.55,41.20,30.40
20250718,Hysa 2 MSC,4481,173675.10,38.76,41.00,31.10
20250718,Hysa 3 MSC,4790,142717.00,29.79,31.90,26.60
20250718,Hysa 4 MSC,535,1070.00,2.00,2.00,2.00
20250718,Hysa MSC,470,12020.00,25.57,28.00,22.00
20250718,Hysa 1.5 kg + fryst MSC,970,32010.00,33.00,33.00,33.00
20250718,Hysa 0.8 - 1.5 kg fryst MSC,2455,81506.00,33.20,33.20,33.20
20250718,Hysa 0.5 - 0.8 kg fryst MSC,1082,30837.00,28.50,28.50,28.50
20250718,Hysa 0 - 0.5 kg fryst MSC,50,1250.00,25.00,25.00,25.00
20250718,Toskur 1,8171,272738.81,33.38,39.00,32.90
20250718,Toskur 2,1948,73682.40,37.82,38.80,33.50
20250718,Toskur 3,8445,303650.00,35.96,36.50,35.80
20250718,Toskur 4,9867,313780.29,31.80,33.40,27.60
20250718,Toskur 5,2914,65919.40,22.62,24.00,20.40
20250718,Toskur 7 kg+ fryst,443,28795.00,65.00,65.00,65.00
20250718,Toskur 5 kg + fryst,912,50524.80,55.40,55.40,55.40
20250718,Toskur 2.5 - 5.0 kg fryst,3468,170972.41,49.30,49.30,49.30
20250718,Toskur 1.0 - 2.5 kg fryst,675,31252.50,46.30,46.30,46.30
20250718,Hvítingur,1515,23992.50,15.84,17.90,11.00
20250718,Upsi 1 MSC,1055,16247.00,15.40,15.40,15.40
20250718,Upsi 2 MSC,453,6976.20,15.40,15.40,15.40
20250718,Upsi 3 MSC,288,2880.00,10.00,10.00,10.00
20250718,Upsi 4 MSC,213,1938.30,9.10,9.10,9.10
20250718,Upsi 5 MSC,60,240.00,4.00,4.00,4.00
20250718,Upsi 5,11,44.00,4.00,4.00,4.00
20250718,Upsi MSC,245,1960.00,8.00,8.00,8.00
20250718,Brosma 1 MSC,80,640.00,8.00,8.00,8.00
20250718,Brosma 2 MSC,310,2480.00,8.00,8.00,8.00
20250718,Brosma 3 MSC,400,2800.00,7.00,7.00,7.00
20250718,Brosma 4 MSC,65,260.00,4.00,4.00,4.00
20250718,Brosma MSC,55,165.00,3.00,3.00,3.00
20250718,Brosma 2 kg + fryst MSC,9504,185328.00,19.50,19.50,19.50
20250718,Brosma 1 - 2 kg fryst MSC,19797,352427.19,17.80,18.00,17.60
20250718,Brosma 0 - 1 kg fryst MSC,1731,27696.00,16.00,16.00,16.00
20250718,Longa 1,3440,58480.00,17.00,17.00,17.00
